model,dataset,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,What was the average cost for a 30 second commercial during Super Bowl 50?," The average cost for a 30-second commercial during Super Bowl 50 in 2016 was approximately $5 million USD. This price has increased over the years, with Super Bowl LVI (2022) having an average cost of around $6.5 million per 30-second spot.",$5 million,0.5366,False,3.95
mistral,squad,Which group headlined the Super Bowl 50 halftime show?," The group that headlined the Super Bowl 50 halftime show was Coldplay, with special guests Beyoncé and Bruno Mars. The performance took place on February 7, 2016, at Levi's Stadium in Santa Clara, California.",Coldplay,0.8046,False,3.3
mistral,squad,Which performers joined the headliner during the Super Bowl 50 halftime show?," During Super Bowl 50, the headliner for the halftime show was Coldplay. They were joined by Beyoncé and Bruno Mars. This collaboration is often referred to as ""Coldplay featuring Beyoncé and Bruno Mars.""",Beyoncé and Bruno Mars,0.6609,False,3.0
mistral,squad,At which Super Bowl did Beyonce headline the halftime show?," Beyoncé performed at the Super Bowl halftime show for the first time in 2013, during Super Bowl XLVII (which was held on February 3, 2013). She returned to perform again at Super Bowl XLIX in 2015.",Super Bowl XLVII,0.7161,False,3.69
mistral,squad,Who was the broadcaster for Super Bowl 50 in the United States?," CBS broadcasted Super Bowl 50 in the United States. The game took place on February 7, 2016, at Levi's Stadium in Santa Clara, California. The event featured the Denver Broncos and the Carolina Panthers, with the Broncos winning 24-10. Jim Nantz and Phil Simms served as the announcers for the game on CBS.",CBS,0.8112,False,4.82
mistral,squad,What was the average cost of a 30-second commercial?," The cost of a 30-second commercial during a major U.S. television event like the Super Bowl can be quite high, often ranging from $5 million to over $6 million in recent years. However, for regular network TV programming, the average cost varies greatly depending on factors such as the specific network, time of day, and popularity of the show. For example, a 30-second spot during primetime on networks like NBC or Fox can range from around $100,000 to over $400,000. It's important to note that these prices are subject to change and can be influenced by various factors in the advertising market.",$5 million,0.5721,False,8.0
mistral,squad,What halftime performer previously headlined Super Bowl XLVII?," Beyoncé was the halftime performer at Super Bowl XLVII in 2013, but she had also headlined the Super Bowl earlier as part of Destiny's Child during Super Bowl XXXV in 2004. However, when she performed at Super Bowl XLVII, it was her first solo halftime show appearance.",Beyoncé,0.4376,True,4.45
mistral,squad,What halftime performer previously headlined Super Bowl XLVIII?," The halftime performer who later headlined Super Bowl XLVIII is Bruno Mars. He performed at the Super Bowl XLVIII halftime show in 2014, and then headlined the event in 2016 (Super Bowl 50). However, it's important to note that he did not perform as a headliner at Super Bowl XLVIII; he was one of the featured acts during the halftime show alongside Red Hot Chili Peppers, who were the official headliners for that year.",Bruno Mars,0.4355,True,6.83
mistral,squad,Who was the main performer at this year's halftime show?," As of my last update, the information about the main performer for this year's Super Bowl halftime show is not available yet. The Super Bowl LVI will take place on February 13, 2022, and the halftime show performer has not been officially announced. I recommend checking the latest news sources to find out who the performer will be.",Coldplay,0.6201,False,4.56
mistral,squad,Which network broadcasted the 50th Super Bowl game? ," The 50th Super Bowl game was broadcasted by CBS in the United States on February 7, 2016.",CBS,0.8243,False,1.75
mistral,squad,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?," The average cost for a 30-second TV ad during Super Bowl 50 in 2016 was approximately $5 million USD. This price has increased over the years, with Super Bowl LVI (2022) having an average cost of around $5.4 million per 30-second spot.",$5 million,0.5362,False,4.02
mistral,squad,Who was the male singer who performed as a special guest during Super Bowl 50?," The male singer who performed as a special guest during Super Bowl 50 was Coldplay's lead vocalist Chris Martin. However, he was not the only performer that night. Beyoncé also made an appearance as part of the halftime show, and Bruno Mars collaborated with him for a portion of it. The main halftime act was headlined by Coldplay, but they were joined by these other artists as well.",Bruno Mars,0.7033,False,5.32
mistral,squad,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?," The Super Bowl 50 halftime show, featuring Coldplay, Beyoncé, and Bruno Mars, was viewed by approximately 116 million people in the United States. This makes it one of the most-watched television events in U.S. history. However, when ranked among all TV broadcasts worldwide, it doesn't make the top 100 list due to the significant differences in viewership between domestic and international programming. The Super Bowl halftime shows are often highly anticipated events, but they still fall short of some non-Super Bowl events that have attracted larger global audiences.",third,0.6071,False,7.07
mistral,squad,What station aired the Super Bowl?," The Super Bowl is typically broadcast by one of the major American television networks, such as CBS, NBC, Fox, or ESPN (through ABC). However, the specific network for each Super Bowl can vary depending on the year. For example, Super Bowl LVI (2022) was aired by NBC. To get the most accurate information, I recommend checking the official NFL website or a reliable sports news source for the specific year you're interested in.",CBS,0.7397,False,5.67
mistral,squad,How much money did a 1/2 minute commercial cost?," The cost of a 30-second commercial can vary greatly depending on the platform and the time of broadcast. For national television networks like NBC, CBS, or Fox during prime time, a 30-second spot can cost anywhere from $50,000 to over $400,000. However, these are averages and actual costs can be significantly higher for high-profile events or popular shows.

Since your question was about a half-minute commercial (which is 30 seconds), the cost would be approximately half of the above range, but it's important to note that commercial time isn't typically sold in half-minute increments on most networks. Therefore, the exact cost for a half-minute commercial may not be readily available and could potentially involve purchasing two 30-second spots.

For online platforms like YouTube or streaming services, the cost per view (CPV) can range from $0.10 to over $0.50, depending on factors such as the target audience, ad format, and industry.",$5 million,0.5513,False,12.76
mistral,squad,What band headlined half-time during Super Bowl 50?," The band that headlined at halftime during Super Bowl 50 was Coldplay, with special guests Beyoncé and Bruno Mars. This event took place on February 7, 2016.",Coldplay,0.6974,False,2.66
mistral,squad,What two artists came out with Coldplay during the half-time show?," During Super Bowl 50 in 2016, Coldplay performed at the halftime show along with Beyoncé and Bruno Mars. However, it's important to note that they did not come out together as separate acts but collaborated during the performance.",Beyoncé and Bruno Mars,0.7662,False,3.35
mistral,squad,Who broadcast the Super Bowl on TV?," In the United States, the Super Bowl is typically broadcast by CBS, NBC, FOX, and ESPN (through ABC) in a rotation. The network that airs the Super Bowl changes each year. For example, Super Bowl LVI (2022) was broadcast by NBC. However, it's important to note that this may vary depending on the specific year and region.",CBS,0.6712,False,4.74
mistral,squad,Who headlined the halftime show for Super Bowl 50?," The halftime show for Super Bowl 50, which took place on February 7, 2016, was headlined by Coldplay. They were joined by guest performers Beyoncé and Bruno Mars during the performance.",Coldplay,0.6593,False,2.98
