condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
hcpc_v2,When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012"," The two finalists for hosting Super Bowl 50 were announced on October 16, 2012.",0.7968,False,56.298,1438.038,1494.336,,squad,mistral,8.01,175.354
crag,When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012"," The league announced the two finalists for hosting Super Bowl 50 on October 16, 2012.",0.7932,False,38.908,1464.669,1503.577,,squad,mistral,8.01,175.354
raptor_2l,When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012"," The two finalists for hosting Super Bowl 50 were announced on October 16, 2012.",0.7968,False,7.922,2024.323,2032.245,,squad,mistral,8.01,175.354
hcpc_v2,How many times has the South Florida/Miami area hosted the Super Bowl?,10," The South Florida/Miami area has previously hosted the Super Bowl 10 times, according to the provided context.",0.5849,False,60.037,1650.096,1710.133,,squad,mistral,8.01,175.354
crag,How many times has the South Florida/Miami area hosted the Super Bowl?,10, The South Florida/Miami area has previously hosted the event 10 times.,0.7238,False,33.696,873.549,907.244,,squad,mistral,8.01,175.354
raptor_2l,How many times has the South Florida/Miami area hosted the Super Bowl?,10, The South Florida/Miami area has previously hosted the event 10 times as per the provided context.,0.6073,False,7.845,1873.678,1881.524,,squad,mistral,8.01,175.354
hcpc_v2,What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV," The most recent Super Bowl hosted in the South Florida/Miami area, according to the provided context, was Super Bowl XLIV in 2010.",0.8065,False,57.908,1822.833,1880.741,,squad,mistral,8.01,175.354
crag,What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV," Super Bowl XLIV in 2010 was the most recent Super Bowl hosted in the South Florida/Miami area, according to the provided context.",0.7548,False,32.511,1539.853,1572.364,,squad,mistral,8.01,175.354
raptor_2l,What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV," The most recent Super Bowl hosted in the South Florida/Miami area was Super Bowl XLIV in 2010, as stated in the provided context.",0.746,False,8.661,2390.571,2399.232,,squad,mistral,8.01,175.354
hcpc_v2,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010," The most recent Super Bowl hosted in the South Florida/Miami area, according to the provided context, was Super Bowl XLIV in 2010.",0.8065,False,57.473,1556.387,1613.86,,squad,mistral,8.01,175.354
crag,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010," The most recent Super Bowl hosted in the South Florida/Miami area, according to the provided context, was Super Bowl XLIV in 2010.",0.8065,False,52.648,1885.027,1937.675,,squad,mistral,8.01,175.354
raptor_2l,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010," The most recent Super Bowl hosted in the South Florida/Miami area was Super Bowl XLIV in 2010, as stated in the provided context.",0.746,False,8.033,2389.663,2397.696,,squad,mistral,8.01,175.354
hcpc_v2,When did the San Francisco Bay area last host the Super Bowl?,1985, The San Francisco Bay Area last hosted the Super Bowl in 1985 (Super Bowl XIX).,0.7051,False,35.471,1213.435,1248.906,,squad,mistral,8.01,175.354
crag,When did the San Francisco Bay area last host the Super Bowl?,1985, The San Francisco Bay Area last hosted the Super Bowl in 1985 (Super Bowl XIX).,0.7051,False,47.635,1118.348,1165.984,,squad,mistral,8.01,175.354
raptor_2l,When did the San Francisco Bay area last host the Super Bowl?,1985, The San Francisco Bay Area last hosted the Super Bowl in 1985 (Super Bowl XIX).,0.7051,False,8.218,1665.046,1673.264,,squad,mistral,8.01,175.354
hcpc_v2,What was the other finalist besides Levi's Stadium?,Sun Life Stadium, The other finalist besides Levi's Stadium was Sun Life Stadium.,0.7354,False,34.269,1025.006,1059.274,,squad,mistral,8.01,175.354
crag,What was the other finalist besides Levi's Stadium?,Sun Life Stadium, The other finalist besides Levi's Stadium was Sun Life Stadium.,0.7354,False,45.66,721.764,767.424,,squad,mistral,8.01,175.354
raptor_2l,What was the other finalist besides Levi's Stadium?,Sun Life Stadium, Miami's Sun Life Stadium was one of the other finalists besides Levi's Stadium.,0.7802,False,7.944,1384.438,1392.383,,squad,mistral,8.01,175.354
hcpc_v2,When were the finalists announced?,"October 16, 2012", I cannot find this information in the provided context. The context does not mention when the finalists for the game were announced.,0.7408,False,52.96,1300.867,1353.827,,squad,mistral,8.01,175.354
crag,When were the finalists announced?,"October 16, 2012", I cannot find this information in the provided context. The context does not mention when the finalists for the game were announced.,0.7408,False,20.927,1121.697,1142.624,,squad,mistral,8.01,175.354
raptor_2l,When were the finalists announced?,"October 16, 2012", I cannot find this information in the provided context. The context does not mention when the finalists for Super Bowl 50 were announced.,0.7361,False,8.216,1704.374,1712.59,,squad,mistral,8.01,175.354
hcpc_v2,In what venue did Super Bowl XIX take place?,Stanford Stadium," Stanford Stadium in Stanford, California",0.6347,False,34.88,730.644,765.523,,squad,mistral,8.01,175.354
crag,In what venue did Super Bowl XIX take place?,Stanford Stadium," Stanford Stadium in Stanford, California",0.6347,False,44.906,394.605,439.511,,squad,mistral,8.01,175.354
raptor_2l,In what venue did Super Bowl XIX take place?,Stanford Stadium," Stanford Stadium in Stanford, California",0.6347,False,7.513,878.362,885.875,,squad,mistral,8.01,175.354
hcpc_v2,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013"," The context does not provide the exact date when the Florida legislature decided against the plan to renovate the Miami stadium, but it happened before May 3, 2013, as mentioned in the text.",0.4885,True,58.056,2189.917,2247.973,,squad,mistral,8.01,175.354
crag,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013"," The context does not provide the exact date when the Florida legislature decided against the plan to renovate the Miami stadium, but it happened before May 3, 2013, as mentioned in the text.",0.4885,True,22.362,1893.633,1915.995,,squad,mistral,8.01,175.354
raptor_2l,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013"," May 3, 2013",0.5667,False,7.555,921.504,929.059,,squad,mistral,8.01,175.354
hcpc_v2,In what year was the Super Bowl last held in the Miami/South Florida area?,2010," The Super Bowl was last held in the Miami/South Florida area in 2010, as mentioned in the context. Specifically, it was Super Bowl XLIV.",0.7158,False,59.566,1882.73,1942.295,,squad,mistral,8.01,175.354
crag,In what year was the Super Bowl last held in the Miami/South Florida area?,2010," The most recent Super Bowl held in the Miami/South Florida area, according to the provided context, was Super Bowl XLIV in 2010.",0.8002,False,49.073,1844.062,1893.135,,squad,mistral,8.01,175.354
raptor_2l,In what year was the Super Bowl last held in the Miami/South Florida area?,2010," The Super Bowl was last held in the Miami/South Florida area in 2010, as stated in the context.",0.8012,False,8.226,2031.389,2039.615,,squad,mistral,8.01,175.354
hcpc_v2,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two," I cannot find this information in the provided context. The context only mentions that Miami's Sun Life Stadium was one of the finalists for hosting a Super Bowl, but it does not specify how many times a Super Bowl has been held there.",0.5672,False,55.316,2259.622,2314.938,,squad,mistral,8.01,175.354
crag,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two," I cannot find this information in the provided context. The context only mentions that Miami's Sun Life Stadium has hosted the Super Bowl 10 times (implied to be in the past), but it does not specify how many times the Super Bowl took place at Sun Life Stadium after October 16, 2012, when the league announced the finalists.",0.4767,True,37.928,3244.316,3282.244,,squad,mistral,8.01,175.354
raptor_2l,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two, I cannot find this information in the provided context as it does not mention any Super Bowls taking place at Miami's Sun Life Stadium after 2010 (Super Bowl XLIV).,0.467,True,7.828,2373.923,2381.751,,squad,mistral,8.01,175.354
hcpc_v2,What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV," The last Super Bowl that took place at Sun Life Stadium in Miami, according to the provided context, was Super Bowl XLIV in 2010.",0.7891,False,56.893,1496.505,1553.398,,squad,mistral,8.01,175.354
crag,What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV," The context does not provide information about which Super Bowl took place at Sun Life Stadium in Miami before the provided context ends. However, it is mentioned that the most recent Super Bowl in Miami was Super Bowl XLIV in 2010.",0.7121,False,39.385,2277.921,2317.306,,squad,mistral,8.01,175.354
raptor_2l,What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV, I cannot find this information in the provided context as it does not mention any Super Bowl taking place at Sun Life Stadium after 2010 (Super Bowl XLIV).,0.5522,False,8.418,2281.46,2289.878,,squad,mistral,8.01,175.354
hcpc_v2,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two, Two stadiums were named as finalists for hosting Super Bowl 50 in 2012.,0.7681,False,36.582,1297.158,1333.74,,squad,mistral,8.01,175.354
crag,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two," I cannot find this information in the provided context. The context only mentions the finalists for Super Bowl 50 (Sun Life Stadium and Levi's Stadium) were announced in 2012, but it does not specify how many stadiums were initially considered as potential candidates before these two were named as finalists.",0.5209,False,46.287,3097.089,3143.376,,squad,mistral,8.01,175.354
raptor_2l,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two, Two stadiums were named as finalists for hosting Super Bowl 50 in 2012. The two finalists were Sun Life Stadium and Levi's Stadium.,0.7942,False,7.644,2350.019,2357.663,,squad,mistral,8.01,175.354
hcpc_v2,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature, I cannot find this information in the provided context. The text does not specify what entity caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50.,0.5497,False,53.429,1876.166,1929.595,,squad,mistral,8.01,175.354
crag,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature," I cannot find this information in the provided context. The context does mention that the Miami bid depended on whether the stadium underwent renovations, but it doesn't specify who or what entity caused the Sun Life Stadium to no longer be in contention for Super Bowl 50.",0.4646,True,32.216,2598.553,2630.769,,squad,mistral,8.01,175.354
raptor_2l,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature," The Florida legislature refused to approve the funding plan for the renovations of Miami's Sun Life Stadium, which dealt a significant blow to Miami's chances of hosting Super Bowl 50.",0.3243,True,8.106,2540.366,2548.471,,squad,mistral,8.01,175.354
hcpc_v2,"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985, The San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX).,0.702,False,35.936,1406.61,1442.546,,squad,mistral,8.01,175.354
crag,"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985, The San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX).,0.702,False,49.63,1047.904,1097.534,,squad,mistral,8.01,175.354
raptor_2l,"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985, The San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX).,0.702,False,8.294,1557.181,1565.475,,squad,mistral,8.01,175.354
hcpc_v2,What other city has hosted the Super Bowl ten times?,New Orleans, New Orleans,0.5344,False,33.341,524.759,558.1,,squad,mistral,8.01,175.354
crag,What other city has hosted the Super Bowl ten times?,New Orleans, New Orleans,0.5344,False,49.178,236.112,285.29,,squad,mistral,8.01,175.354
raptor_2l,What other city has hosted the Super Bowl ten times?,New Orleans," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in Santa Clara, California (which is part of the San Francisco Bay Area), but it does not provide details about how many times other cities have hosted the Super Bowl.",0.53,False,7.809,3099.13,3106.938,,squad,mistral,8.01,175.354
hcpc_v2,What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012"," I cannot find this information in the provided context. The context only mentions that Levi's Stadium was awarded the game for Super Bowl 50, but it does not specify when the announcement was made regarding the stadium choices.",0.6542,False,55.729,2160.281,2216.011,,squad,mistral,8.01,175.354
crag,What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012"," I cannot find this information in the provided context. The context only mentions the location and date of Super Bowl 50, but not when the top two stadium choices were announced.",0.6231,False,31.642,1811.16,1842.802,,squad,mistral,8.01,175.354
raptor_2l,What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012"," I cannot find this information in the provided context. The context only mentions that Levi's Stadium was chosen as the venue for Super Bowl 50, but it does not specify when the other potential venues were announced.",0.6111,False,7.772,2946.436,2954.208,,squad,mistral,8.01,175.354
hcpc_v2,How many times prios has the Sun Life Stadium had Super Bowls?,10.," I cannot find this information in the provided context. The context only mentions that Miami hosted the Super Bowl 10 times, but it does not specify how many of those were held at Sun Life Stadium.",0.6134,False,52.267,2191.732,2243.999,,squad,mistral,8.01,175.354
crag,How many times prios has the Sun Life Stadium had Super Bowls?,10.," I cannot find this information in the provided context. The context only mentions that Sun Life Stadium was one of the finalists for Super Bowl XLVIII in 2013, but it does not specify how many times the stadium has previously hosted a Super Bowl.",0.5554,False,29.546,2417.444,2446.99,,squad,mistral,8.01,175.354
raptor_2l,How many times prios has the Sun Life Stadium had Super Bowls?,10., I cannot find this information in the provided context as it does not mention how many times Sun Life Stadium had previously hosted a Super Bowl.,0.4526,True,8.675,1910.01,1918.685,,squad,mistral,8.01,175.354
hcpc_v2,What city is tied with Miami for hosting the Super Bowl?,New Orleans, New Orleans,0.5344,False,55.591,437.737,493.327,,squad,mistral,8.01,175.354
crag,What city is tied with Miami for hosting the Super Bowl?,New Orleans, New Orleans,0.5344,False,37.924,324.734,362.658,,squad,mistral,8.01,175.354
raptor_2l,What city is tied with Miami for hosting the Super Bowl?,New Orleans, New Orleans,0.5344,False,8.547,893.249,901.796,,squad,mistral,8.01,175.354
hcpc_v2,When was the last time San Francisco hosted a Super Bowl?,1985, The last time San Francisco hosted a Super Bowl was in 1985 (Super Bowl XIX).,0.7418,False,33.619,1441.387,1475.006,,squad,mistral,8.01,175.354
crag,When was the last time San Francisco hosted a Super Bowl?,1985, The last time San Francisco hosted a Super Bowl was in 1985 (Super Bowl XIX).,0.7418,False,48.211,1120.069,1168.28,,squad,mistral,8.01,175.354
raptor_2l,When was the last time San Francisco hosted a Super Bowl?,1985, The last time San Francisco hosted a Super Bowl was in 1985 (Super Bowl XIX).,0.7418,False,8.604,1524.508,1533.112,,squad,mistral,8.01,175.354
hcpc_v2,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature," I cannot find this information in the provided context about who exactly did not approve paying for renovations at Sun Life Stadium. The context mentions that the Florida legislature refused to approve the funding plan, but it does not specify who within the Florida legislature made this decision.",0.446,True,73.865,2816.69,2890.555,,squad,mistral,8.01,175.354
crag,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature, The Florida legislature refused to approve the funding plan to pay for the renovations at Sun Life Stadium.,0.2621,True,39.281,1107.802,1147.083,,squad,mistral,8.01,175.354
raptor_2l,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature, The Florida legislature refused to approve the funding plan to pay for the renovations at Sun Life Stadium.,0.2621,True,7.71,1811.805,1819.515,,squad,mistral,8.01,175.354
hcpc_v2,When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013"," The context does not provide information about when Levi's Stadium was awarded the right to host Super Bowl 50 specifically, but it was mentioned that the NFL owners voted and awarded the game (Super Bowl) to Levi's Stadium on May 21, 2013. However, without additional context, it cannot be confirmed whether this refers to Super Bowl 50. The league announced in October 2012 that they were considering two finalists for Super Bowl 50, but the final decision was not mentioned in the provided context.",0.4926,True,36.727,5361.551,5398.278,,squad,mistral,8.01,175.354
crag,When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013"," The context does not provide information about when Levi's Stadium was awarded the right to host Super Bowl 50 specifically, but it was confirmed that they were awarded the game for the 2013 season (Super Bowl XLVII), as stated in the provided context. However, Super Bowl 50 was played on February 7, 2016, which is two years after the stadium's opening in 2014, so it seems that Levi's Stadium was awarded the right to host Super Bowl 50 at some point between 2013 and 2015.",0.3698,True,44.094,5701.149,5745.243,,squad,mistral,8.01,175.354
raptor_2l,When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013"," On May 21, 2013, according to the provided context.",0.7214,False,8.363,1503.278,1511.641,,squad,mistral,8.01,175.354
hcpc_v2,Who voted on the venue for Super Bowl 50?,NFL owners, The NFL owners voted on the venue for Super Bowl 50.,0.7963,False,57.069,1125.073,1182.142,,squad,mistral,8.01,175.354
crag,Who voted on the venue for Super Bowl 50?,NFL owners, The NFL owners voted on the venue for Super Bowl 50.,0.7963,False,39.222,849.837,889.059,,squad,mistral,8.01,175.354
raptor_2l,Who voted on the venue for Super Bowl 50?,NFL owners, NFL owners at their spring meetings in Boston voted on the venue for Super Bowl 50.,0.7327,False,8.165,1608.944,1617.109,,squad,mistral,8.01,175.354
hcpc_v2,When did Lev's Stadium open?,2014, The $1.2 billion stadium opened in 2014.,0.4904,True,53.666,944.768,998.434,,squad,mistral,8.01,175.354
crag,When did Lev's Stadium open?,2014, The $1.2 billion stadium opened in 2014.,0.4904,True,29.997,689.631,719.628,,squad,mistral,8.01,175.354
raptor_2l,When did Lev's Stadium open?,2014, The $1.2 billion stadium opened in 2014.,0.4904,True,8.082,1287.759,1295.841,,squad,mistral,8.01,175.354
hcpc_v2,How much did it cost to build Levi's Stadium?,$1.2 billion," The context does not provide the exact cost of building Levi's Stadium. However, it is stated that the stadium opened in 2014 at a total cost of $1.2 billion.",0.3501,True,53.275,1996.487,2049.762,,squad,mistral,8.01,175.354
crag,How much did it cost to build Levi's Stadium?,$1.2 billion, The context states that Levi's Stadium cost $1.2 billion to build.,0.6487,False,27.987,795.568,823.556,,squad,mistral,8.01,175.354
raptor_2l,How much did it cost to build Levi's Stadium?,$1.2 billion, $1.2 billion,1.0,False,7.656,831.97,839.626,,squad,mistral,8.01,175.354
hcpc_v2,What California city last hosted the Super Bowl?,San Diego," The San Francisco Bay Area last hosted the Super Bowl, specifically in Santa Clara, California at Levi's Stadium (as per Super Bowl 50).",0.7126,False,35.306,1849.709,1885.015,,squad,mistral,8.01,175.354
crag,What California city last hosted the Super Bowl?,San Diego," The San Francisco Bay Area last hosted the Super Bowl, specifically in Santa Clara, California (at Levi's Stadium).",0.7532,False,50.431,1298.222,1348.653,,squad,mistral,8.01,175.354
raptor_2l,What California city last hosted the Super Bowl?,San Diego," San Francisco Bay Area (specifically Levi's Stadium in Santa Clara) was the last California city to host the Super Bowl, as mentioned in the context for Super Bowl 50.",0.5401,False,7.924,2336.264,2344.188,,squad,mistral,8.01,175.354
hcpc_v2,Where did the spring meetings of the NFL owners take place?,Boston, The spring meetings of the NFL owners took place in Boston.,0.7744,False,32.842,871.907,904.749,,squad,mistral,8.01,175.354
crag,Where did the spring meetings of the NFL owners take place?,Boston, The spring meetings of the NFL owners took place in Boston.,0.7744,False,28.972,634.123,663.095,,squad,mistral,8.01,175.354
raptor_2l,Where did the spring meetings of the NFL owners take place?,Boston, I cannot find this information in the provided context. The context does not mention where the spring meetings of the NFL owners took place.,0.6279,False,7.332,1835.79,1843.122,,squad,mistral,8.01,175.354
hcpc_v2,On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013"," The context does not provide the exact date when Super Bowl 50 was awarded to Levi's Stadium, but we know it was before May 21, 2013, as that is when another event (NFL owners meeting) took place at a different stadium.",0.4581,True,53.273,2914.934,2968.207,,squad,mistral,8.01,175.354
crag,On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013"," The context does not provide a specific date when Super Bowl 50 was given to Levi's Stadium, but it was awarded during the NFL owners' spring meetings in Boston on May 21, 2013. However, the game was played on February 7, 2016.",0.6831,False,39.356,2850.197,2889.553,,squad,mistral,8.01,175.354
raptor_2l,On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013"," The context does not provide a specific date when Super Bowl 50 was awarded to Levi's Stadium, but it states that the NFL owners voted and awarded the game to Levi's Stadium at their spring meetings in Boston on an unspecified date in May 21, 2013.",0.5724,False,8.196,3428.233,3436.429,,squad,mistral,8.01,175.354
hcpc_v2,How much did it cost to build Levi's Stadium?,$1.2 billion," The context does not provide the exact cost of building Levi's Stadium. However, it is stated that the stadium opened in 2014 at a total cost of $1.2 billion.",0.3501,True,54.251,2034.904,2089.155,,squad,mistral,8.01,175.354
crag,How much did it cost to build Levi's Stadium?,$1.2 billion, The context states that Levi's Stadium cost $1.2 billion to build.,0.6487,False,27.566,824.113,851.679,,squad,mistral,8.01,175.354
raptor_2l,How much did it cost to build Levi's Stadium?,$1.2 billion, $1.2 billion,1.0,False,8.328,866.331,874.66,,squad,mistral,8.01,175.354
hcpc_v2,"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII," The last Super Bowl in California prior to Super Bowl 50 was Super Bowl XXXVII, which took place in San Diego in 2003.",0.5796,False,58.711,1943.816,2002.526,,squad,mistral,8.01,175.354
crag,"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in California, but it does not provide details about previous Super Bowls held there.",0.6983,False,32.654,1889.89,1922.544,,squad,mistral,8.01,175.354
raptor_2l,"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII," Super Bowl XXXVII took place in San Diego in 2003, which was the last Super Bowl in California prior to Super Bowl 50.",0.495,True,8.328,2266.322,2274.65,,squad,mistral,8.01,175.354
hcpc_v2,In what city did the last Super Bowl in California occur?,San Diego," The last Super Bowl that occurred in California before Super Bowl 50 was Super Bowl XIX, which took place in San Francisco Bay Area at Stanford Stadium in Stanford, California.",0.6763,False,34.551,2044.874,2079.426,,squad,mistral,8.01,175.354
crag,In what city did the last Super Bowl in California occur?,San Diego," The last Super Bowl that occurred in California before Super Bowl 50 was Super Bowl XIX, which took place in San Diego in 1985. However, it's important to note that the context mentions Super Bowl XIX was held in the San Francisco Bay Area, not specifically in San Diego. But since there were no other Super Bowls mentioned in California between 1985 and 2016, it can be assumed that Super Bowl XIX is the last one before Super Bowl 50, which took place in Santa Clara, California (part of the San Francisco Bay Area).",0.6132,False,58.001,5619.094,5677.095,,squad,mistral,8.01,175.354
raptor_2l,In what city did the last Super Bowl in California occur?,San Diego, San Diego,1.0,False,7.606,867.974,875.581,,squad,mistral,8.01,175.354
hcpc_v2,What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013," The context does not provide information about when exactly Levi's Stadium was fully approved to host Super Bowl 50, but it was awarded the game in May 21, 2013. However, the final decision was announced by the league on October 16, 2012, making it likely that the approval process was completed before this date.",0.4198,True,34.478,3616.603,3651.081,,squad,mistral,8.01,175.354
crag,What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013," The context does not provide information about when Levi's Stadium was fully approved to host Super Bowl 50 specifically, but it was awarded the game in May 21, 2013.",0.4275,True,49.957,2210.529,2260.486,,squad,mistral,8.01,175.354
raptor_2l,What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013," The context does not provide specific information about when Levi's Stadium was fully approved to host Super Bowl 50, but it is stated that the stadium opened in 2014 and the game was played on February 7, 2016. Therefore, it can be inferred that Levi's Stadium was approved to host Super Bowl 50 sometime between 2014 and 2016.",0.5153,False,7.826,4688.301,4696.127,,squad,mistral,8.01,175.354
hcpc_v2,When did Levi's stadium open to the public? ,2014," The context does not provide information about when Levi's Stadium opened to the public. However, it is stated that the stadium opened in 2014.",0.7373,False,54.741,1683.248,1737.989,,squad,mistral,8.01,175.354
crag,When did Levi's stadium open to the public? ,2014, The Levi's Stadium opened to the public in 2014.,0.7889,False,29.514,798.4,827.914,,squad,mistral,8.01,175.354
raptor_2l,When did Levi's stadium open to the public? ,2014, The $1.2 billion Levi's Stadium opened in 2014.,0.4755,True,8.211,1447.789,1456.0,,squad,mistral,8.01,175.354
hcpc_v2,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion," The provided context does not specify the exact cost of building Levi's Stadium. However, it is mentioned that the stadium opened in 2014 at a total cost of $1.2 billion. It's possible that this includes costs for renovations or additional construction work done after its initial opening, but the context does not provide information on those potential additional expenses.",0.4916,True,57.865,3733.78,3791.644,,squad,mistral,8.01,175.354
crag,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion," The provided context does not specify the cost of building Levi's Stadium, but we know that it opened in 2014 with a cost of $1.2 billion. However, Super Bowl 50 was played at this stadium in 2016, so it is likely that the construction cost may have increased beyond the initial $1.2 billion due to additional renovations or improvements made for the event. Without more specific information, I cannot confirm the exact cost of building Levi's Stadium by the time Super Bowl 50 was played.",0.3892,True,38.191,5066.957,5105.148,,squad,mistral,8.01,175.354
raptor_2l,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion, $1.2 billion,1.0,False,8.578,982.965,991.543,,squad,mistral,8.01,175.354
hcpc_v2,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985," The Super Bowl that played in the Bay Area around San Francisco prior to Super Bowl 50 was Super Bowl XIX, which took place in 1985.",0.5914,False,32.096,1654.625,1686.72,,squad,mistral,8.01,175.354
crag,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985," The Super Bowl that played in the Bay Area around San Francisco prior to Super Bowl 50 was Super Bowl XIX, which took place in 1985.",0.5914,False,54.214,1736.989,1791.204,,squad,mistral,8.01,175.354
raptor_2l,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985," The context mentions that Super Bowl XIX was held in the San Francisco Bay Area in 1985, which is prior to Super Bowl 50 in 2016.",0.8944,False,8.501,2351.954,2360.455,,squad,mistral,8.01,175.354
hcpc_v2,Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII," Super Bowl XXXVII, according to the provided context.",0.868,False,61.012,1043.107,1104.119,,squad,mistral,8.01,175.354
crag,Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII," Super Bowl XXXVII, according to the provided context.",0.868,False,48.377,869.573,917.95,,squad,mistral,8.01,175.354
raptor_2l,Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII," Super Bowl XXXVII, which took place in 2003, was hosted in San Diego.",0.7821,False,9.175,1745.841,1755.016,,squad,mistral,8.01,175.354
hcpc_v2,When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013"," The context does not provide a specific date when San Francisco was voted to be the location for Super Bowl 50. However, it is known that the game was held in Levi's Stadium in 2016, which opened in 2014 and was awarded to the stadium on May 21, 2013. Since Super Bowl 50 took place in 2016, it can be inferred that San Francisco was likely voted as the location for Super Bowl 50 sometime between 2013 and 2015.",0.6546,False,36.789,5483.711,5520.501,,squad,mistral,8.01,175.354
crag,When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013"," The context does not provide a specific date when San Francisco was voted to be the location for Super Bowl 50. However, it is known that the game was held in Levi's Stadium in 2016, and the league announced the two finalists for hosting the event on October 16, 2012. Therefore, San Francisco was likely voted to be the location for Super Bowl 50 sometime between October 2012 and February 2016.",0.715,False,49.502,4366.364,4415.866,,squad,mistral,8.01,175.354
raptor_2l,When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013"," On May 21, 2013, San Francisco was voted to be the location for Super Bowl 50.",0.8107,False,7.911,1748.956,1756.867,,squad,mistral,8.01,175.354
hcpc_v2,When did Levi's Stadium open?,2014," The context does not provide the exact date when Levi's Stadium opened, but it states that it opened in 2014.",0.5218,False,55.408,1412.867,1468.275,,squad,mistral,8.01,175.354
crag,When did Levi's Stadium open?,2014, The Levi's Stadium opened in 2014.,0.7441,False,28.229,633.901,662.13,,squad,mistral,8.01,175.354
