pair_id,dataset,query_index,question,ground_truth,model,backend,seed,set_type,passage_idxs,mean_query_sim,ccs,sim_gap,ccs_gap,overlap,answer,faithfulness_score,is_hallucination,nli_label,latency_s,error
fix01_faaec5abb8c2,squad,750,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,mistral,ollama,42,low_ccs,"[1, 2, 19]",0.609185,0.302017,0.003167,0.470426,1," In the provided context, it is mentioned that Newton completed a 45-yard pass to Ted Ginn Jr. on the second offensive play for the Panthers during the second half of the game. However, it's important to note that this event took place in Super Bowl 50 but not specifically during the starting plays of the game. The context does not provide information about any passes made by Newton during the starting plays of the Super Bowl.",0.7236,False,faithful,19.828,
fix01_0beeb82f2af9,squad,2065,What are teachers considered to be in Germany?,civil servants,mistral,ollama,42,high_ccs,"[11, 15, 19]",0.410774,0.659706,0.007835,0.493657,1, I cannot find this information in the provided context as it pertains to teachers in Germany.,0.7161,False,faithful,10.377,
fix01_0beeb82f2af9,squad,2065,What are teachers considered to be in Germany?,civil servants,mistral,ollama,42,low_ccs,"[10, 15, 16]",0.418609,0.166049,0.007835,0.493657,1, I cannot find this information in the provided context as it pertains to the teaching profession in Germany.,0.6685,False,faithful,11.52,
fix01_f185492ace6d,squad,717,How many yards did Brad Nortman's punt travel?,28,mistral,ollama,42,high_ccs,"[7, 8, 19]",0.436941,0.675991,0.014344,0.487952,1, I cannot find this information in the provided context. The context does not mention Brad Nortman or his punts.,0.6741,False,faithful,14.941,
fix01_f185492ace6d,squad,717,How many yards did Brad Nortman's punt travel?,28,mistral,ollama,42,low_ccs,"[8, 13, 16]",0.422597,0.188039,0.014344,0.487952,1, I cannot find this information in the provided context. The context does not mention Brad Nortman or his punts.,0.6741,False,faithful,13.319,
fix01_566a65b70dd4,squad,1423,What happened to most of Tesla's work from this time?,lost in the 5th Avenue laboratory fire of March 1895,mistral,ollama,42,high_ccs,"[10, 11, 19]",0.536828,0.713976,0.001427,0.384099,1," The context does not provide specific information about what happened to most of Tesla's work from this time in Colorado Springs. However, it is mentioned that he conducted high-voltage, high-frequency experiments and recorded his initial spark length at his lab there. The book ""Colorado Springs Notes, 1899–1900"" contains descriptions of these experiments.",0.6415,False,faithful,19.311,
fix01_566a65b70dd4,squad,1423,What happened to most of Tesla's work from this time?,lost in the 5th Avenue laboratory fire of March 1895,mistral,ollama,42,low_ccs,"[8, 11, 18]",0.538255,0.329877,0.001427,0.384099,1," I cannot find information in the provided context about what happened to most of Tesla's work from this time. The context mainly focuses on his work related to the death ray, radio waves, and his interactions with pigeons near the end of his life.",0.6836,False,faithful,14.103,
fix01_03506a3d1e70,squad,1444,In which year did Benjamin Lamme achieve success making the motor more efficient?,1893,mistral,ollama,42,high_ccs,"[0, 5, 9]",0.396303,0.666124,0.012012,0.466707,1, The provided context does not specify the exact year when Benjamin Lamme achieved success in making Tesla's induction motor more efficient for Westinghouse Electric.,0.8753,False,faithful,11.613,
fix01_03506a3d1e70,squad,1444,In which year did Benjamin Lamme achieve success making the motor more efficient?,1893,mistral,ollama,42,low_ccs,"[0, 4, 19]",0.384292,0.199417,0.012012,0.466707,1," The provided context does not specify the exact year when Benjamin Lamme achieved success in making Tesla's induction motor more efficient, only stating that it was at the beginning of 1893.",0.5844,False,faithful,11.492,
fix01_d96492188b47,squad,1897,What is another type of accountant other than a CPA?,Chartered,mistral,ollama,42,high_ccs,"[5, 14, 16]",0.199208,0.700145,0.01704,0.805939,0, I cannot find this information in the provided context. The context only discusses teacher-related topics and does not mention any types of accountants.,0.7582,False,faithful,9.906,
fix01_d96492188b47,squad,1897,What is another type of accountant other than a CPA?,Chartered,mistral,ollama,42,low_ccs,"[11, 18, 19]",0.182167,-0.105794,0.01704,0.805939,0, I cannot find this information in the provided context. The context does not mention any other types of accountants besides CPAs (Certified Public Accountants) being discussed.,0.759,False,faithful,12.854,
fix01_2d8e393178e5,squad,518,What was the name of the fund setup to help with investing in the community? ,50 fund,mistral,ollama,42,high_ccs,"[4, 7, 10]",0.222181,0.511072,0.012015,0.702825,1, I cannot find this information in the provided context. The text does not mention any fund set up to help with investing in the community related to Tesla.,0.6681,False,faithful,12.277,
fix01_2d8e393178e5,squad,518,What was the name of the fund setup to help with investing in the community? ,50 fund,mistral,ollama,42,low_ccs,"[2, 7, 13]",0.234196,-0.191754,0.012015,0.702825,1, The provided context does not mention any fund being set up for investing in the community.,0.8334,False,faithful,8.161,
fix01_5974aba807f1,squad,1953,How common was the form of corporal punishment in the past?,one of the most common,mistral,ollama,42,high_ccs,"[5, 7, 13]",0.324467,0.58588,0.000515,0.699208,0," I cannot find this information in the provided context about the frequency or commonness of corporal punishment in the past. The context only discusses sexual misconduct by professionals, including teachers, and does not mention corporal punishment.",0.5366,False,faithful,13.963,
fix01_5974aba807f1,squad,1953,How common was the form of corporal punishment in the past?,one of the most common,mistral,ollama,42,low_ccs,"[4, 9, 14]",0.323952,-0.113328,0.000515,0.699208,0, The provided context does not contain information about the frequency or commonness of corporal punishment in the past.,0.7083,False,faithful,12.399,
fix01_9113385099d5,squad,722,How much time was left in the quarter when Stewart got the touchdown?,11:28,mistral,ollama,42,high_ccs,"[8, 10, 18]",0.40121,0.665504,0.002408,0.435081,0, The provided context does not contain information about the time left in a quarter when Stewart scored a touchdown.,0.9765,False,faithful,13.338,
fix01_9113385099d5,squad,722,How much time was left in the quarter when Stewart got the touchdown?,11:28,mistral,ollama,42,low_ccs,"[7, 11, 17]",0.403617,0.230424,0.002408,0.435081,0," I cannot find this information in the provided context. The context does not mention any details about Jonathan Stewart's touchdown, including the game or quarter it occurred in.",0.6377,False,faithful,11.201,
fix01_acd530fc0157,squad,275,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,mistral,ollama,42,high_ccs,"[13, 14, 16]",0.414277,0.761081,0.011565,0.506687,1, I cannot find this information in the provided context. The context does not mention Peyton Manning's passer rating for the season.,0.6899,False,faithful,17.279,
fix01_acd530fc0157,squad,275,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,mistral,ollama,42,low_ccs,"[15, 16, 17]",0.402712,0.254394,0.011565,0.506687,1, I cannot find this information in the provided context. The context does not mention Peyton Manning's passer rating for the entire season.,0.7141,False,faithful,16.428,
fix01_ace5eb793f41,squad,200,Who had the best record in the NFC?,Carolina Panthers,mistral,ollama,42,high_ccs,"[9, 10, 16]",0.451408,0.745141,0.001543,0.581957,0," The context does not provide information about the records of teams in the NFC or AFC, so I cannot find this information in the provided context.",0.6656,False,faithful,15.435,
fix01_ace5eb793f41,squad,200,Who had the best record in the NFC?,Carolina Panthers,mistral,ollama,42,low_ccs,"[8, 13, 14]",0.452951,0.163184,0.001543,0.581957,0, I cannot find this information in the provided context. The context does not provide any details about the teams' regular season records or their standing within the NFC.,0.611,False,faithful,19.352,
fix01_cf6c90d6c1ad,squad,1186,When did Tesla discover the possibility of wireless connectivity?,1893,mistral,ollama,42,high_ccs,"[8, 9, 19]",0.575286,0.623841,0.012981,0.348763,0, The provided context does not mention any discovery by Tesla regarding wireless connectivity.,0.6599,False,faithful,12.065,
fix01_cf6c90d6c1ad,squad,1186,When did Tesla discover the possibility of wireless connectivity?,1893,mistral,ollama,42,low_ccs,"[11, 15, 16]",0.562304,0.275078,0.012981,0.348763,0," The context does not provide information about when Tesla discovered the possibility of wireless connectivity. However, it is mentioned that the Colorado experiments had prepared Tesla for the establishment of a trans-Atlantic wireless telecommunications facility, suggesting that he may have been working on or considering wireless technology at that time.",0.532,False,faithful,17.61,
fix01_df3657312a4a,squad,2144,What is the term for the highest living saint?,Qutb,mistral,ollama,42,high_ccs,"[4, 10, 14]",0.272862,0.608961,0.005382,0.619497,0, I cannot find this information in the provided context. The text does not mention any term for the highest living saint.,0.392,True,hallucinated,11.7,
fix01_df3657312a4a,squad,2144,What is the term for the highest living saint?,Qutb,mistral,ollama,42,low_ccs,"[3, 5, 17]",0.278244,-0.010536,0.005382,0.619497,0, I cannot find this information in the provided context. The context does not provide any details about religious titles or terms related to saints.,0.6481,False,faithful,12.676,
fix01_1e2349e4746e,squad,307,What was the final score of the game between the Panthers and the Seahawks?,31–24,mistral,ollama,42,high_ccs,"[1, 4, 6]",0.619404,0.775318,0.014804,0.490839,1, I cannot find this information in the provided context as it does not mention a game between the Panthers and the Seahawks.,0.3461,True,hallucinated,17.37,
fix01_1e2349e4746e,squad,307,What was the final score of the game between the Panthers and the Seahawks?,31–24,mistral,ollama,42,low_ccs,"[0, 1, 18]",0.604601,0.284479,0.014804,0.490839,1," I cannot find this information in the provided context. The context only discusses the games against Seattle Seahawks, Arizona Cardinals, and Denver Broncos, but it does not specify the final score of the game between the Panthers and the Seahawks.",0.4884,True,hallucinated,20.247,
fix01_72925e9e3555,squad,2035,"What has the avoidance of men to become teachers caused, in some areas?",a shortage of male teachers,mistral,ollama,42,high_ccs,"[7, 11, 16]",0.449903,0.732384,0.005768,0.519274,0, I cannot find this information in the provided context as it does not mention anything about the avoidance of men becoming teachers and its potential effects in certain areas.,0.5585,False,faithful,10.672,
fix01_72925e9e3555,squad,2035,"What has the avoidance of men to become teachers caused, in some areas?",a shortage of male teachers,mistral,ollama,42,low_ccs,"[5, 9, 18]",0.455671,0.21311,0.005768,0.519274,0, I cannot find this information in the provided context. The context does not mention anything about the avoidance of men becoming teachers and its potential effects.,0.5006,False,faithful,13.138,
fix01_c8bf1482f934,squad,486,On what day does the Super Bowl media day traditionally take place?,Tuesday,mistral,ollama,42,high_ccs,"[3, 8, 17]",0.442905,0.624114,0.000809,0.495946,1, The context does not provide information about when the Super Bowl media day traditionally takes place.,0.7394,False,faithful,9.985,
fix01_c8bf1482f934,squad,486,On what day does the Super Bowl media day traditionally take place?,Tuesday,mistral,ollama,42,low_ccs,"[3, 10, 14]",0.443714,0.128168,0.000809,0.495946,1, I cannot find this information in the provided context. The context does not mention when the Super Bowl media day takes place.,0.7269,False,faithful,11.993,
fix01_69cf7cbcf7f2,squad,1986,"Who may teachers focus on, in order to prioritize attention?",motivated students,mistral,ollama,42,high_ccs,"[2, 6, 19]",0.425917,0.788021,0.000465,0.595598,1," Teachers should focus on their students and the subject matter they are teaching. According to the provided context, a teacher who cares for their students is more likely to help them succeed in life, and a teacher who is enthusiastic about the subject matter can create a spark of excitement in the student as well.",0.6081,False,faithful,20.821,
fix01_69cf7cbcf7f2,squad,1986,"Who may teachers focus on, in order to prioritize attention?",motivated students,mistral,ollama,42,low_ccs,"[6, 10, 13]",0.425451,0.192423,0.000465,0.595598,1, Teachers may focus on their students in order to prioritize attention.,0.6916,False,faithful,13.795,
fix01_80929709a946,squad,412,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,mistral,ollama,42,high_ccs,"[6, 13, 15]",0.456299,0.665501,0.002593,0.490626,0, I cannot find this information in the provided context. The context does not specify the color of the uniforms worn by the Denver Broncos in any of the mentioned Super Bowls.,0.681,False,faithful,14.247,
fix01_80929709a946,squad,412,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,mistral,ollama,42,low_ccs,"[4, 11, 19]",0.453707,0.174875,0.002593,0.490626,0, I cannot find this information in the provided context. The context does not mention which Super Bowl the Denver Broncos wore white uniforms for.,0.6719,False,faithful,13.136,
fix01_11141cfc0187,squad,817,What garden was formally only for royalty?,The Saxon Garden,mistral,ollama,42,high_ccs,"[9, 12, 16]",0.285858,0.526999,0.009947,0.719417,1, I cannot find this information in the provided context. The text does not mention any gardens associated with royalty.,0.5927,False,faithful,11.701,
fix01_11141cfc0187,squad,817,What garden was formally only for royalty?,The Saxon Garden,mistral,ollama,42,low_ccs,"[4, 6, 16]",0.295805,-0.192418,0.009947,0.719417,1, I cannot find this information in the provided context. The context does not mention any gardens that were exclusively for royalty.,0.6146,False,faithful,11.371,
fix01_e99d9c4a997e,squad,1515,Who approved of this plan?,William H. Maxwell,mistral,ollama,42,high_ccs,"[4, 12, 19]",0.164998,0.540946,0.011575,0.688605,0," The context does not provide information about who approved of the plan for Tesla to redesign Edison's direct current generators. It only mentions that Edison offered Tesla $50,000 if he could do it, but later only offered a raise in salary when Tesla completed the task, which Tesla refused and resigned.",0.478,True,hallucinated,22.071,
fix01_e99d9c4a997e,squad,1515,Who approved of this plan?,William H. Maxwell,mistral,ollama,42,low_ccs,"[5, 7, 10]",0.176573,-0.147659,0.011575,0.688605,0," The Emperor presented the final draft of the Edict of Worms, which approved the plan to declare Luther an outlaw and ban his literature. However, the context does not specify who exactly approved this plan within the Emperor's court or among the secular authorities.",0.6649,False,faithful,18.015,
fix01_21fa65cff0ca,squad,1071,What was the Norman religion?,Catholicism,mistral,ollama,42,high_ccs,"[6, 15, 18]",0.467147,0.587581,0.00382,0.509041,0, The context does not provide information about the Norman religion.,0.6201,False,faithful,11.406,
fix01_21fa65cff0ca,squad,1071,What was the Norman religion?,Catholicism,mistral,ollama,42,low_ccs,"[8, 11, 17]",0.470967,0.078541,0.00382,0.509041,0," The provided context does not specify the exact religion of the Normans. However, it mentions that they replaced the Norse religion with Catholicism (Christianity) in the north of France.",0.6913,False,faithful,19.184,
fix01_d2684a0b07dc,squad,766,On what yard line did Carolina begin with 4:51 left in the game?,24,mistral,ollama,42,high_ccs,"[2, 5, 8]",0.533996,0.752521,0.009614,0.602943,1," I cannot find this information in the provided context. The context only provides details about events that occurred before half-time and after each team punted, but it does not specify where Carolina began with 4:51 left in the game.",0.4652,True,hallucinated,21.382,
fix01_d2684a0b07dc,squad,766,On what yard line did Carolina begin with 4:51 left in the game?,24,mistral,ollama,42,low_ccs,"[2, 3, 16]",0.524383,0.149577,0.009614,0.602943,1, I cannot find this information in the provided context. The context does not mention any specific yard line for Carolina's possession with 4:51 left in the game.,0.7202,False,faithful,12.874,
fix01_222e3dd92f0e,squad,1379,Where was the 1893 World's Columbian Exposition held?,Chicago,mistral,ollama,42,high_ccs,"[8, 15, 17]",0.197734,0.569942,0.001319,0.693341,0," The context does not provide information about where the 1893 World's Columbian Exposition was held. However, it is mentioned that Tesla gave lectures and demonstrations there in 1893.",0.785,False,faithful,16.823,
fix01_222e3dd92f0e,squad,1379,Where was the 1893 World's Columbian Exposition held?,Chicago,mistral,ollama,42,low_ccs,"[6, 14, 19]",0.199053,-0.123399,0.001319,0.693341,0," I cannot find this information in the provided context. The context only discusses events related to Super Bowl games and stadiums, not historical events like the 1893 World's Columbian Exposition.",0.4269,True,hallucinated,14.256,
fix01_85546a9c0d25,squad,104,What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,mistral,ollama,42,high_ccs,"[4, 15, 18]",0.418874,0.647915,0.004543,0.536008,0," I cannot find this information in the provided context. The context only discusses the gameplay and outcomes of Super Bowl 50, not the halftime performers.",0.5563,False,faithful,17.629,
fix01_85546a9c0d25,squad,104,What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,mistral,ollama,42,low_ccs,"[11, 14, 17]",0.414331,0.111908,0.004543,0.536008,0," I cannot find this information in the provided context. The context only discusses NFL players and stadiums, not performers for the Super Bowl halftime show.",0.561,False,faithful,11.612,
fix01_aab32d16a29a,squad,4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,mistral,ollama,42,high_ccs,"[11, 13, 14]",0.428991,0.633565,0.004476,0.427904,0, I cannot find this information in the provided context. The context does not mention any specific color used to emphasize the 50th anniversary of the Super Bowl.,0.7562,False,faithful,15.87,
fix01_aab32d16a29a,squad,4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,mistral,ollama,42,low_ccs,"[9, 12, 17]",0.424514,0.205661,0.004476,0.427904,0, I cannot find this information in the provided context. The context does not mention any details about the color used to emphasize the 50th anniversary of the Super Bowl.,0.7511,False,faithful,15.038,
fix01_23361fb095fb,squad,194,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,mistral,ollama,42,high_ccs,"[3, 11, 17]",0.48462,0.665501,0.001252,0.51936,0," Four teams have been to the championship game (Super Bowl) eight times, according to the provided context. These are the Broncos, Dallas Cowboys, Pittsburgh Steelers, and New England Patriots.",0.7402,False,faithful,15.042,
fix01_23361fb095fb,squad,194,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,mistral,ollama,42,low_ccs,"[5, 6, 16]",0.483368,0.146141,0.001252,0.51936,0, I cannot find this information in the provided context. The context does not provide any details about the number of teams that have been to the championship game eight times before Super Bowl 50.,0.5751,False,faithful,11.638,
fix01_a011cca0893a,squad,1965,Where can you find more information on a country's practices?,see School corporal punishment.,mistral,ollama,42,high_ccs,"[6, 12, 16]",0.231683,0.631822,0.008319,0.767376,1," The context does not provide specific sources or references for further information on a country's practices regarding school discipline. However, it suggests that research on East Asian countries like Japan might be found in studies about classroom discipline and behavior in those regions. Additionally, information on North America and Western Europe could potentially be found in studies focusing on modern examples of school discipline in those areas. It is recommended to consult academic journals or educational publications for more detailed information.",0.7014,False,faithful,22.36,
fix01_a011cca0893a,squad,1965,Where can you find more information on a country's practices?,see School corporal punishment.,mistral,ollama,42,low_ccs,"[6, 13, 17]",0.223364,-0.135554,0.008319,0.767376,1," The provided context does not offer specific details about where one can find more information on a country's practices. However, it mentions that the educational attainment of countries in East Asia is used as an example to support a certain viewpoint regarding discipline in schools. This suggests that researching or consulting academic resources related to education systems in East Asian countries might provide some insights into their practices. Additionally, the context also mentions cultural events in Warsaw, Poland, which could be researched for information about traditions and practices specific to that location.",0.7284,False,faithful,25.407,
fix01_625fe9f4e975,squad,1339,What did his design avoid in not having a commutator?,sparking,mistral,ollama,42,high_ccs,"[0, 18, 19]",0.328217,0.760069,0.000289,0.512182,0," His design avoided the need for a commutator. The context mentions that Tesla's induction motor was commutator-less, which means it didn't require a device used to reverse the direction of electric current in an alternating current electrical machine or an electron tube in order to convert alternating current into direct current and vice versa. This design feature was significant because it made his motor simpler and potentially more efficient compared to motors with commutators.",0.6013,False,faithful,25.399,
fix01_625fe9f4e975,squad,1339,What did his design avoid in not having a commutator?,sparking,mistral,ollama,42,low_ccs,"[2, 4, 6]",0.327927,0.247887,0.000289,0.512182,0, The design avoided sparking and the high maintenance of constantly servicing and replacing mechanical brushes.,0.554,False,faithful,10.768,
fix01_881739fc8698,squad,709,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,mistral,ollama,42,high_ccs,"[10, 13, 15]",0.462253,0.660391,0.012482,0.425954,0, I cannot find this information in the provided context. The context does not mention any details about a fumble recovery by the Denver Broncos during Cam Newton's tackle.,0.563,False,faithful,15.021,
fix01_881739fc8698,squad,709,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,mistral,ollama,42,low_ccs,"[7, 17, 18]",0.474736,0.234437,0.012482,0.425954,0, I cannot find this information in the provided context. The context does not specify who recovered the fumble that was caused by Cam Newton and resulted in a touchdown for the Broncos.,0.7386,False,faithful,12.764,
fix01_30dd2770c34d,squad,65,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,mistral,ollama,42,high_ccs,"[4, 6, 13]",0.490208,0.745141,0.000688,0.570336,0, The context does not provide information about who received the MVP award for Super Bowl 50.,0.7843,False,faithful,10.198,
fix01_30dd2770c34d,squad,65,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,mistral,ollama,42,low_ccs,"[3, 7, 12]",0.48952,0.174804,0.000688,0.570336,0, I cannot find this information in the provided context. The context does not mention who was given the MVP award for Super Bowl 50.,0.7384,False,faithful,13.135,
fix01_f07f4cf7948c,squad,1498,On what did Tesla blame for the loss of the initial money?,Panic of 1901,mistral,ollama,42,high_ccs,"[7, 15, 18]",0.518406,0.698845,0.008625,0.449208,0, The context does not provide information on what Tesla blamed for the loss of the initial money.,0.4754,True,hallucinated,11.695,
fix01_f07f4cf7948c,squad,1498,On what did Tesla blame for the loss of the initial money?,Panic of 1901,mistral,ollama,42,low_ccs,"[10, 12, 13]",0.509781,0.249637,0.008625,0.449208,0," I cannot find this information in the provided context about what Tesla might have blamed for the loss of his initial money. The context only discusses Tesla's actions related to the injured pigeon and his accident, but there is no mention of him losing money or blaming anything for it.",0.4019,True,hallucinated,17.617,
fix01_c1115ea1a49c,squad,2285,How was the fate of Luther decided?,private conferences,mistral,ollama,42,high_ccs,"[6, 10, 16]",0.591105,0.650434,0.000606,0.337948,0," The context does not provide information on how Luther's fate was officially decided. However, it is mentioned that his refusal to retract all of his writings at the demand of Pope Leo X in 1520 and the Holy Roman Emperor Charles V at the Diet of Worms in 1521 resulted in his excommunication by the Pope and condemnation as an outlaw by the Emperor.",0.491,True,hallucinated,22.227,
fix01_c1115ea1a49c,squad,2285,How was the fate of Luther decided?,private conferences,mistral,ollama,42,low_ccs,"[7, 12, 14]",0.591711,0.312487,0.000606,0.337948,0, The context does not provide information about how Luther's fate was decided after he slipped out of the city unbeknownst to Cajetan.,0.4215,True,hallucinated,11.89,
fix01_a37cbec16316,squad,91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,mistral,ollama,42,high_ccs,"[3, 13, 18]",0.398958,0.601968,0.016616,0.444286,0, I cannot find this information in the provided context. The context does not mention the cost of TV ads during Super Bowl 50.,0.6577,False,faithful,12.764,
fix01_a37cbec16316,squad,91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,mistral,ollama,42,low_ccs,"[11, 15, 16]",0.382342,0.157682,0.016616,0.444286,0, I cannot find this information in the provided context. The context does not mention the cost of TV ads during Super Bowl 50.,0.6577,False,faithful,13.645,
fix01_9a572f3e7321,squad,306,How many times did Arizona turn the ball over in the NFC Championship?,seven,mistral,ollama,42,high_ccs,"[3, 7, 9]",0.464697,0.775318,0.003756,0.578669,0," I cannot find this information in the provided context as it pertains to the Arizona team, not the Carolina Panthers.",0.4386,True,hallucinated,14.143,
fix01_9a572f3e7321,squad,306,How many times did Arizona turn the ball over in the NFC Championship?,seven,mistral,ollama,42,low_ccs,"[0, 11, 19]",0.460941,0.196649,0.003756,0.578669,0," I cannot find this information in the provided context. The context only discusses the Panthers forcing seven turnovers against the Arizona Cardinals, but it does not specify how many times Arizona turned the ball over.",0.7045,False,faithful,16.041,
fix01_c2fd1c4cf2aa,squad,345,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,mistral,ollama,42,high_ccs,"[4, 5, 18]",0.45213,0.778741,0.001005,0.560784,0, I cannot find this information in the provided context.,0.5531,False,faithful,11.246,
fix01_c2fd1c4cf2aa,squad,345,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,mistral,ollama,42,low_ccs,"[2, 7, 19]",0.453135,0.217957,0.001005,0.560784,0, I cannot find this information in the provided context. The context does not mention any player from either team suffering a broken arm during the games discussed.,0.7597,False,faithful,13.067,
fix01_a95b5ed635d9,squad,2292,What did Luther call his stay a Wartburg Castle?,my Patmos,mistral,ollama,42,high_ccs,"[8, 13, 16]",0.463749,0.623027,0.004155,0.322094,0, I cannot find this information in the provided context. The text does not mention Luther's stay at Wartburg Castle.,0.4762,True,hallucinated,11.744,
fix01_a95b5ed635d9,squad,2292,What did Luther call his stay a Wartburg Castle?,my Patmos,mistral,ollama,42,low_ccs,"[6, 11, 18]",0.467904,0.300932,0.004155,0.322094,0, I cannot find this information in the provided context. The text does not mention what Martin Luther called his stay at Wartburg Castle.,0.5458,False,faithful,11.214,
fix01_696f8c77560b,squad,2241,Where did Luther explain his idea of justification?,Smalcald Articles,mistral,ollama,42,high_ccs,"[1, 2, 13]",0.665641,0.699986,0.004749,0.280812,1," Luther explained his idea of justification in On the Bondage of the Will (1525), Smalcald Articles, and in his translations of the New Testament (1522) and the Old Testament (1534).",0.8207,False,faithful,16.362,
fix01_696f8c77560b,squad,2241,Where did Luther explain his idea of justification?,Smalcald Articles,mistral,ollama,42,low_ccs,"[0, 2, 15]",0.67039,0.419174,0.004749,0.280812,1," Luther explained his idea of justification in the Smalcald Articles, as mentioned in the provided context.",0.6827,False,faithful,10.829,
fix01_5c336aba1775,squad,2396,What effort was Luther not particularly in favor of?,writings in volumes,mistral,ollama,42,high_ccs,"[7, 14, 18]",0.594203,0.632424,0.006853,0.296138,1," Compulsory confession and sacerdotalism (the belief that priests have a special access to God and are necessary intermediaries between God and the laity) were not efforts that Luther was particularly in favor of, according to the provided context.",0.4894,True,hallucinated,16.742,
fix01_5c336aba1775,squad,2396,What effort was Luther not particularly in favor of?,writings in volumes,mistral,ollama,42,low_ccs,"[9, 18, 19]",0.58735,0.336286,0.006853,0.296138,1," Based on the provided context, it cannot be definitively determined what specific effort Luther was not in favor of. However, it is mentioned that he challenged the authority and office of the Pope, suggesting that he may have been against certain traditional practices or beliefs associated with the Catholic Church at the time.",0.3487,True,hallucinated,15.51,
fix01_8bafcd3047cc,squad,2149,What did the Church do when Luther refused to retract his writings?,excommunication,mistral,ollama,42,high_ccs,"[7, 9, 17]",0.597147,0.619396,0.008493,0.363996,0, I cannot find this information in the provided context. The context does not mention any specific action taken by the Church when Luther refused to retract his writings.,0.6185,False,faithful,12.59,
fix01_8bafcd3047cc,squad,2149,What did the Church do when Luther refused to retract his writings?,excommunication,mistral,ollama,42,low_ccs,"[10, 14, 18]",0.588655,0.255401,0.008493,0.363996,0," I cannot find this information in the provided context. The context only discusses Luther's personal feelings about his works, but not the actions taken by the Church regarding his refusal to retract them.",0.5324,False,faithful,11.971,
fix01_e2e9a5ea07b5,squad,1528,What was the rumored reason Edison and Tesla were not awarded the prize?,Tesla and/or Edison had refused the prize,mistral,ollama,42,high_ccs,"[4, 5, 15]",0.543599,0.619661,0.000341,0.373298,1, I cannot find any information in the provided context about a prize that Edison and Tesla were rumored to have been not awarded.,0.4673,True,hallucinated,11.5,
fix01_e2e9a5ea07b5,squad,1528,What was the rumored reason Edison and Tesla were not awarded the prize?,Tesla and/or Edison had refused the prize,mistral,ollama,42,low_ccs,"[2, 9, 15]",0.543941,0.246363,0.000341,0.373298,1," I cannot find this information in the provided context. The context only mentions that there were unsubstantiated rumors at the time that Tesla and/or Edison had refused the Nobel Prize, but it does not specify the reason for the alleged refusal.",0.6549,False,faithful,17.837,
fix01_d860a5ddf3a5,squad,1278,Why was he unable to enroll at the university? ,arrived too late,mistral,ollama,42,high_ccs,"[7, 8, 19]",0.295408,0.598002,0.002133,0.715355,1," The provided context does not mention any reason why Tesla was unable to enroll at the university. However, it is mentioned that he lost his scholarship during his second year and became addicted to gambling, which might have affected his ability to continue his studies. But the exact reason for losing the scholarship or being unable to enroll after that is not specified in the context.",0.4794,True,hallucinated,20.278,
fix01_d860a5ddf3a5,squad,1278,Why was he unable to enroll at the university? ,arrived too late,mistral,ollama,42,low_ccs,"[5, 13, 19]",0.297541,-0.117353,0.002133,0.715355,1," I cannot find this information in the provided context as it does not mention why Nikola Tesla was unable to enroll at the university. The context only discusses his teaching a large class of students and his strained relationship with his family, but it does not provide any reason for him being unable to attend university.",0.5686,False,faithful,16.13,
fix01_da87e24b47e6,squad,601,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,mistral,ollama,42,high_ccs,"[6, 12, 13]",0.462586,0.633565,0.002175,0.67356,0, I cannot find this information in the provided context. The context does not mention any details about which company won a contest to have their ad shown for free during Super Bowl 50.,0.6967,False,faithful,14.355,
fix01_da87e24b47e6,squad,601,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,mistral,ollama,42,low_ccs,"[2, 10, 19]",0.460411,-0.039994,0.002175,0.67356,0, Death Wish Coffee,0.6946,False,faithful,9.441,
fix01_ad3f7665f9ce,squad,1564,In what city is the Nikola Tesla Museum?,Belgrade,mistral,ollama,42,high_ccs,"[12, 14, 19]",0.496486,0.672239,0.011409,0.607595,0, I cannot find this information in the provided context. The context does not specify where the Nikola Tesla Museum is located.,0.7257,False,faithful,9.229,
