question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,n_summaries_returned,n_leaves_returned,dataset,model
George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,raptor,0.564,False,0.4615,True,-1.0,1,2,hotpotqa,mistral
What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find the name of Juan Manuel Márquez's younger brother mentioned in the provided context.,baseline,0.7526,False,0.5923,False,-1.0,0,0,hotpotqa,mistral
What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find this information in the provided context. The context does not mention any younger brother of Juan Manuel Márquez who is a WBO champion.,hcpc_v1,0.7521,False,0.6892,False,-1.0,0,0,hotpotqa,mistral
What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find the name of Juan Manuel Márquez's younger brother mentioned in the provided context.,hcpc_v2,0.7526,False,0.5923,False,0.7006,0,0,hotpotqa,mistral
What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez," I cannot find this information in the provided context. The context only mentions Rafael Márquez Méndez as the older brother of Juan Manuel Márquez, but it does not provide his full name or any information about him being a WBO champion.",raptor,0.5107,False,0.492,True,-1.0,1,2,hotpotqa,mistral
The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea," South Korea, according to the provided context about the Running Man Brothers. However, it's important to note that there are two individuals named Kim Jong-kook in the context, one being a pop duo member and the other a baseball player. The information given about Kim Jong-kook as a pop duo member is the one relevant to your question.",baseline,0.5734,False,0.7425,False,-1.0,0,0,hotpotqa,mistral
The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea," I cannot find this specific information about Kim Jong-kook's nationality in the provided context related to the Running Man Brothers. However, it is mentioned that he is a South Korean singer, actor, and TV personality in one of the context snippets. The other context snippet mentions a different Kim Jong-kook who is a baseball player for the Kia Tigers, but no nationality is specified for this individual.",hcpc_v1,0.6044,False,0.7366,False,-1.0,0,0,hotpotqa,mistral
The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea," South Korea, according to the provided context about the Running Man Brothers. However, it's important to note that there are two individuals named Kim Jong-kook in the context, one being a South Korean pop duo member and the other a baseball player. The information given about Kim Jong-kook as a member of the Running Man Brothers does not specify his birthplace, but he is identified as being South Korean based on the context of him being part of a South Korean pop duo named after a South Korean television show.",hcpc_v2,0.5176,False,0.7425,False,0.4917,0,0,hotpotqa,mistral
The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea, South Korea,raptor,0.5936,False,0.5719,True,-1.0,1,2,hotpotqa,mistral
Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," Bury St Edmunds, Suffolk, England.",baseline,0.4787,True,0.6521,False,-1.0,0,0,hotpotqa,mistral
Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," Bury St Edmunds, Suffolk, England.",hcpc_v1,0.4787,True,0.6521,False,-1.0,0,0,hotpotqa,mistral
Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," Bury St Edmunds, Suffolk, England.",hcpc_v2,0.4787,True,0.6521,False,0.4656,0,0,hotpotqa,mistral
Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," I cannot find this information in the provided context. The context does not mention the location of Greene King, the company that owns Ruddles Brewery.",raptor,0.7435,False,0.5085,True,-1.0,1,2,hotpotqa,mistral
The creator of the Lisa Simpson character was born in what year?,1954," I cannot find this information in the provided context. The context only mentions that Matt Groening created and designed Lisa Simpson, but it does not provide her creator's birth year.",baseline,0.4321,True,0.7129,False,-1.0,0,0,hotpotqa,mistral
The creator of the Lisa Simpson character was born in what year?,1954," I cannot find this information in the provided context. The context only mentions Martha Maria Yeardley Smith as the actress who plays Lisa Simpson, not the creator of the character.",hcpc_v1,0.742,False,0.7148,False,-1.0,0,0,hotpotqa,mistral
The creator of the Lisa Simpson character was born in what year?,1954," I cannot find this information in the provided context. The context does not mention when Matt Groening, the creator of Lisa Simpson, was born.",hcpc_v2,0.5923,False,0.7129,False,0.6583,0,0,hotpotqa,mistral
The creator of the Lisa Simpson character was born in what year?,1954," Matt Groening, the creator of Lisa Simpson, was born in 1957. This information is not explicitly stated in the provided context but can be inferred from the fact that Lisa first appeared on television in 1987 and it's mentioned that she was named after his younger sister Lisa Groening. Therefore, Matt Groening must have been born before 1964 (the birth year of Yeardley Smith, who voices Lisa).",raptor,0.7051,False,0.7211,True,-1.0,1,2,hotpotqa,mistral
Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," I cannot find the location of the international airport where Eagle Aviation's wet lease operations were based in the provided context. The context only mentions that Eagle Aviation's wet lease operations were based in Paris at Charles de Gaulle Airport, but it does not specify the country or the exact name of the airport.",baseline,0.7008,False,0.5886,False,-1.0,0,0,hotpotqa,mistral
Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," I cannot find this information in the provided context. The context only mentions that Eagle Aviation France was based in Saint-Nazaire, France and had wet lease operations at Charles de Gaulle Airport in Paris, but it does not specify where their international airport is located.",hcpc_v1,0.5966,False,0.5733,False,-1.0,0,0,hotpotqa,mistral
Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," I cannot find the location of the international airport where Eagle Aviation's wet lease operations were based in the provided context. The context only mentions that Eagle Aviation's wet lease operations were based in Paris at Charles de Gaulle Airport, but it does not specify the country or the exact name of the airport.",hcpc_v2,0.7008,False,0.5902,True,0.416,0,0,hotpotqa,mistral
Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," The context does not provide information about the location of the international airport where Eagle Aviation's wet lease operations were based. However, it is mentioned that these operations were based at Charles de Gaulle Airport in Paris, France.",raptor,0.6638,False,0.4477,True,-1.0,1,2,hotpotqa,mistral
What occupation was shared by David Yates and Pietro Germi?,director," Both David Yates and Pietro Germi worked in the film industry. However, the specific occupation they shared is not explicitly stated in the provided context. From the information given, Pietro Germi is an actor, screenwriter, and director, while David Yates is a filmmaker who has directed feature films, short films, and television productions. But it's not specified that they held the same exact role within the industry.",baseline,0.6363,False,0.449,False,-1.0,0,0,hotpotqa,mistral
What occupation was shared by David Yates and Pietro Germi?,director," Both David Yates and Pietro Germi shared the occupation of being a director, as stated in the provided context for Pietro Germi, and it is implied for David Yates through his career as a filmmaker.",hcpc_v1,0.9073,False,0.4846,False,-1.0,0,0,hotpotqa,mistral
What occupation was shared by David Yates and Pietro Germi?,director," The provided context does not specify a shared occupation between David Yates and Pietro Germi, as it only mentions that they are both involved in the film industry (actor, director, screenwriter for Pietro Germi, and director for David Yates). However, they do share the occupation of being directors.",hcpc_v2,0.7073,False,0.449,True,0.2217,0,0,hotpotqa,mistral
What occupation was shared by David Yates and Pietro Germi?,director," I cannot find this information in the provided context. Both David Yates and Pietro Germi have different occupations mentioned in the context - David Yates is a filmmaker, while Pietro Germi was an actor, screenwriter, and director.",raptor,0.4871,True,0.3926,True,-1.0,1,2,hotpotqa,mistral
